binCapacity,id,wardID,binColor,binID,binCategory,binFullnessThreshold,location.coordinates,location.type,deviceInfo.rfID,deviceInfo.deviceID
1.1,varanasismartcity.gov.in/62d1f729edd3d2a1a090cb1c6c89356296963d55/rs.iudx.org.in/varanasi-swm-additional-info/varanasi-swm-bin-details,7,Green,1127,Dustbin,80,"[82.99697, 25.35382]",Point,E200637C923288716614A621,GBIN001127
1.1,varanasismartcity.gov.in/62d1f729edd3d2a1a090cb1c6c89356296963d55/rs.iudx.org.in/varanasi-swm-additional-info/varanasi-swm-bin-details,4,Green,1128,Dustbin,80,"[82.98547, 25.31205]",Point,E2000015350501841300942F,GBIN001128
1.1,varanasismartcity.gov.in/62d1f729edd3d2a1a090cb1c6c89356296963d55/rs.iudx.org.in/varanasi-swm-additional-info/varanasi-swm-bin-details,80,Green,113,Dustbin,80,"[83.004438, 25.330426]",Point,E200637C9218E1B166143F86,GBIN000307
1.1,varanasismartcity.gov.in/62d1f729edd3d2a1a090cb1c6c89356296963d55/rs.iudx.org.in/varanasi-swm-additional-info/varanasi-swm-bin-details,4,Green,1130,Dustbin,80,"[82.98625, 25.31203]",Point,E200637C923787716614BA1D,GBIN001130
1.1,varanasismartcity.gov.in/62d1f729edd3d2a1a090cb1c6c89356296963d55/rs.iudx.org.in/varanasi-swm-additional-info/varanasi-swm-bin-details,4,Green,1132,Dustbin,80,"[82.9857, 25.3121]",Point,E200637C9236E2B16614B78A,GBIN001132
1.1,varanasismartcity.gov.in/62d1f729edd3d2a1a090cb1c6c89356296963d55/rs.iudx.org.in/varanasi-swm-additional-info/varanasi-swm-bin-details,35,Green,1133,Dustbin,80,"[82.99594, 25.36551]",Point,E200637C92C0DE7166163379,GBIN001133
1.1,varanasismartcity.gov.in/62d1f729edd3d2a1a090cb1c6c89356296963d55/rs.iudx.org.in/varanasi-swm-additional-info/varanasi-swm-bin-details,80,Green,114,Dustbin,80,"[83.003079, 25.333246]",Point,E200637C9203FB716613E12D,GBIN000147
1.1,varanasismartcity.gov.in/62d1f729edd3d2a1a090cb1c6c89356296963d55/rs.iudx.org.in/varanasi-swm-additional-info/varanasi-swm-bin-details,7,Green,1143,Dustbin,80,"[82.99939, 25.35166]",Point,E200637C923EE6316614D798,GBIN001143
1.1,varanasismartcity.gov.in/62d1f729edd3d2a1a090cb1c6c89356296963d55/rs.iudx.org.in/varanasi-swm-additional-info/varanasi-swm-bin-details,36,Green,1144,Dustbin,80,"[83.01171, 25.33607]",Point,E200637C920006316613DC18,GBIN001144
1.1,varanasismartcity.gov.in/62d1f729edd3d2a1a090cb1c6c89356296963d55/rs.iudx.org.in/varanasi-swm-additional-info/varanasi-swm-bin-details,65,Green,1145,Dustbin,80,"[83.0049, 25.31593]",Point,E2005024981400870310E8E2,GBIN001145
