license_plate,fuelEfficiency,id,vehicleType,observationDateTime,[]
CHASIS NO 1659764,4.0,varanasismartcity.gov.in/62d1f729edd3d2a1a090cb1c6c89356296963d55/rs.iudx.org.in/varanasi-swm-vehicle-fuel-info/fuel-consumption,Hopper,2022-02-21T23:15:00+05:30,
CHASSIS-1659749,8.0,varanasismartcity.gov.in/62d1f729edd3d2a1a090cb1c6c89356296963d55/rs.iudx.org.in/varanasi-swm-vehicle-fuel-info/fuel-consumption,Hopper,2022-02-21T23:15:00+05:30,
CHASSIS-1659755,6.0,varanasismartcity.gov.in/62d1f729edd3d2a1a090cb1c6c89356296963d55/rs.iudx.org.in/varanasi-swm-vehicle-fuel-info/fuel-consumption,QRT,2022-02-21T23:15:00+05:30,
HP97 7103,8.0,varanasismartcity.gov.in/62d1f729edd3d2a1a090cb1c6c89356296963d55/rs.iudx.org.in/varanasi-swm-vehicle-fuel-info/fuel-consumption,Sweeping Machine,2022-02-21T23:15:00+05:30,
UP60KT0647,0.0,varanasismartcity.gov.in/62d1f729edd3d2a1a090cb1c6c89356296963d55/rs.iudx.org.in/varanasi-swm-vehicle-fuel-info/fuel-consumption,Auto Tipper,2022-02-21T23:15:00+05:30,
UP64KT0776,0.0,varanasismartcity.gov.in/62d1f729edd3d2a1a090cb1c6c89356296963d55/rs.iudx.org.in/varanasi-swm-vehicle-fuel-info/fuel-consumption,Auto Tipper,2022-02-21T23:15:00+05:30,
UP65 JT 7277,6.0,varanasismartcity.gov.in/62d1f729edd3d2a1a090cb1c6c89356296963d55/rs.iudx.org.in/varanasi-swm-vehicle-fuel-info/fuel-consumption,Auto Tipper,2022-02-21T23:15:00+05:30,
UP65 JT 7282,4.0,varanasismartcity.gov.in/62d1f729edd3d2a1a090cb1c6c89356296963d55/rs.iudx.org.in/varanasi-swm-vehicle-fuel-info/fuel-consumption,Auto Tipper,2022-02-21T23:15:00+05:30,
UP65 JT 7285,6.0,varanasismartcity.gov.in/62d1f729edd3d2a1a090cb1c6c89356296963d55/rs.iudx.org.in/varanasi-swm-vehicle-fuel-info/fuel-consumption,Auto Tipper,2022-02-21T23:15:00+05:30,
UP65 JT 7294,8.0,varanasismartcity.gov.in/62d1f729edd3d2a1a090cb1c6c89356296963d55/rs.iudx.org.in/varanasi-swm-vehicle-fuel-info/fuel-consumption,Auto Tipper,2022-02-21T23:15:00+05:30,
UP65 JT 7301,8.0,varanasismartcity.gov.in/62d1f729edd3d2a1a090cb1c6c89356296963d55/rs.iudx.org.in/varanasi-swm-vehicle-fuel-info/fuel-consumption,Auto Tipper,2022-02-21T23:15:00+05:30,
chassis 1659771,6.0,varanasismartcity.gov.in/62d1f729edd3d2a1a090cb1c6c89356296963d55/rs.iudx.org.in/varanasi-swm-vehicle-fuel-info/fuel-consumption,Hopper,2022-02-21T23:15:00+05:30,
CHASSIS-1659750,8.0,varanasismartcity.gov.in/62d1f729edd3d2a1a090cb1c6c89356296963d55/rs.iudx.org.in/varanasi-swm-vehicle-fuel-info/fuel-consumption,Hopper,2022-02-21T23:15:00+05:30,
CHASSIS-1659763,6.0,varanasismartcity.gov.in/62d1f729edd3d2a1a090cb1c6c89356296963d55/rs.iudx.org.in/varanasi-swm-vehicle-fuel-info/fuel-consumption,QRT,2022-02-21T23:15:00+05:30,
MYA04290,4.0,varanasismartcity.gov.in/62d1f729edd3d2a1a090cb1c6c89356296963d55/rs.iudx.org.in/varanasi-swm-vehicle-fuel-info/fuel-consumption,Auto Tipper,2022-02-21T23:15:00+05:30,
